date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2024-01-02,2962.28,9401.35,1855.92,3386.35,839.80,-0.43,-1.29,-1.87,-1.30,-1.43,7877.8,,,,,
2024-01-03,2967.25,9330.86,1834.73,3378.30,829.77,0.17,-0.75,-1.14,-0.24,-1.19,7374.7,,,,,
2024-01-04,2954.35,9215.25,1801.76,3347.05,823.85,-0.43,-1.24,-1.80,-0.93,-0.71,6734.3,,,,,
2024-01-05,2929.18,9116.44,1775.58,3329.11,807.73,-0.85,-1.07,-1.45,-0.54,-1.96,7363.0,,,,,
2024-01-08,2887.54,8947.72,1744.41,3286.06,784.43,-1.42,-1.85,-1.76,-1.29,-2.88,6576.0,,,,,
2024-01-09,2893.25,8971.72,1750.78,3292.50,782.93,0.20,0.27,0.37,0.20,-0.19,6742.7,,,,,
2024-01-10,2877.70,8922.79,1743.20,3277.13,777.15,-0.54,-0.55,-0.43,-0.47,-0.74,6470.2,,,,,
2024-01-11,2886.65,9053.88,1777.27,3295.67,789.86,0.31,1.47,1.95,0.57,1.64,7120.8,,,,,
2024-01-12,2881.98,8996.26,1761.16,3284.17,778.36,-0.16,-0.64,-0.91,-0.35,-1.46,6766.7,,,,,
2024-01-15,2886.29,8963.93,1745.61,3280.92,773.41,0.15,-0.36,-0.88,-0.10,-0.64,6109.2,,,,,
2024-01-16,2893.99,8992.07,1752.23,3300.88,777.40,0.27,0.31,0.38,0.61,0.52,6848.4,,,,,
2024-01-17,2833.62,8759.76,1699.62,3229.08,757.04,-2.09,-2.58,-3.00,-2.18,-2.62,6375.3,,,,,
2024-01-18,2845.78,8847.00,1732.36,3274.73,768.28,0.43,1.00,1.93,1.41,1.48,8647.9,,,,,
2024-01-19,2832.28,8787.02,1715.44,3269.78,765.47,-0.47,-0.68,-0.98,-0.15,-0.37,6666.1,,,,,
2024-01-22,2756.34,8479.55,1666.88,3218.90,742.23,-2.68,-3.50,-2.83,-1.56,-3.04,7940.7,,,,,
2024-01-23,2770.98,8596.28,1687.61,3231.93,749.74,0.53,1.38,1.24,0.40,1.01,7042.4,,,,,
2024-01-24,2820.77,8682.19,1696.19,3277.11,750.27,1.80,1.00,0.51,1.40,0.07,7669.5,,,,,
2024-01-25,2906.11,8856.22,1720.78,3342.92,765.79,3.03,2.00,1.45,2.01,2.07,8914.3,,,,,
2024-01-26,2910.22,8762.33,1682.48,3333.82,746.10,0.14,-1.06,-2.23,-0.27,-2.57,8286.9,,,,,
2024-01-29,2883.36,8581.76,1623.81,3303.96,725.31,-0.92,-2.06,-3.49,-0.90,-2.79,8052.2,,,,,
2024-01-30,2830.53,8375.98,1583.77,3245.04,697.85,-1.83,-2.40,-2.47,-1.78,-3.79,6636.4,,,,,
2024-01-31,2788.55,8212.84,1573.37,3215.35,684.85,-1.48,-1.95,-0.66,-0.91,-1.86,7582.6,,,,,
2024-02-01,2770.74,8240.48,1589.04,3217.71,690.01,-0.64,0.34,1.00,0.07,0.75,7030.0,,,,,
2024-02-02,2730.15,8055.77,1550.37,3179.63,673.41,-1.46,-2.24,-2.43,-1.18,-2.41,8056.9,,,,,
2024-02-05,2702.19,7964.71,1562.61,3200.42,676.79,-1.02,-1.13,0.79,0.65,0.50,8773.8,,,,,
2024-02-06,2789.49,8460.38,1667.45,3311.69,720.80,3.23,6.22,6.71,3.48,6.50,9263.2,,,,,
2024-02-07,2829.70,8708.24,1707.02,3343.63,743.42,1.44,2.93,2.37,0.96,3.14,10219.3,,,,,
