date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down,broken,broken_rate,max_streak,streak_2plus
2026-01-05,4023.42,13828.63,3294.55,4717.75,1403.41,1.38,2.24,2.85,1.90,4.40,25463.5,,,,,,,,,
2026-01-06,4083.67,14022.55,3319.29,4790.69,1429.30,1.50,1.40,0.75,1.55,1.84,28065.8,,,,,,,,,
2026-01-07,4085.77,14030.56,3329.69,4776.67,1443.39,0.05,0.06,0.31,-0.29,0.99,28542.2,,,,,,,,,
2026-01-08,4082.98,13959.48,3302.31,4737.65,1455.17,-0.07,-0.51,-0.82,-0.82,0.82,28003.8,,,,,,,,,
2026-01-09,4120.43,14120.15,3327.81,4758.92,1475.97,0.92,1.15,0.77,0.45,1.43,31227.7,,,,,,,,,
2026-01-12,4165.29,14366.91,3388.34,4789.92,1511.84,1.09,1.75,1.82,0.65,2.43,36014.5,,,,,,,,,
2026-01-13,4138.76,14169.40,3321.89,4761.03,1469.57,-0.64,-1.37,-1.96,-0.60,-2.80,36510.6,,,,,,,,,
2026-01-14,4126.09,14248.60,3349.14,4741.93,1500.91,-0.31,0.56,0.82,-0.40,2.13,39414.8,,,,,,,,,
2026-01-15,4112.60,14306.73,3367.92,4751.43,1493.95,-0.33,0.41,0.56,0.20,-0.46,29055.6,,,,,,,,,
2026-01-16,4101.91,14281.08,3361.02,4731.87,1514.07,-0.26,-0.18,-0.20,-0.41,1.35,30263.2,,,,,,,,,
2026-01-19,4114.00,14294.05,3337.61,4734.46,1506.86,0.29,0.09,-0.70,0.05,-0.48,27084.3,,,,,,,,,
2026-01-20,4113.65,14155.63,3277.98,4718.88,1482.99,-0.01,-0.97,-1.79,-0.33,-1.58,27778.0,,,,,,,,,
2026-01-21,4116.94,14255.13,3295.52,4723.07,1535.39,0.08,0.70,0.54,0.09,3.53,26007.0,,,,,,,,,
2026-01-22,4122.58,14327.05,3328.65,4723.71,1541.64,0.14,0.50,1.01,0.01,0.41,26917.3,,,,,,,,,
2026-01-23,4136.16,14439.66,3349.50,4702.50,1553.71,0.33,0.79,0.63,-0.45,0.78,30852.2,,,,,,,,,
2026-01-26,4132.61,14316.64,3319.15,4706.96,1532.80,-0.09,-0.85,-0.91,0.09,-1.35,32482.0,,,,,,,,,
2026-01-27,4139.90,14329.91,3342.60,4705.69,1555.98,0.18,0.09,0.71,-0.03,1.51,28949.8,,,,,,,,,
2026-01-28,4151.24,14342.89,3323.56,4717.99,1554.80,0.27,0.09,-0.57,0.26,-0.08,29654.1,,,,,,,,,
2026-01-29,4157.98,14300.08,3304.51,4753.87,1507.64,0.16,-0.30,-0.57,0.76,-3.03,32300.1,,,,,,,,,
2026-01-30,4117.95,14205.89,3346.36,4706.34,1509.40,-0.96,-0.66,1.27,-1.00,0.12,28355.4,,,,,,,,,
2026-02-02,4015.75,13824.35,3264.11,4605.98,1450.90,-2.48,-2.69,-2.46,-2.13,-3.88,25847.7,,,,,,,,,
2026-02-03,4067.74,14127.11,3324.89,4660.11,1471.07,1.29,2.19,1.86,1.18,1.39,25442.3,,,,,,,,,
2026-02-04,4102.20,14156.27,3311.51,4698.68,1453.48,0.85,0.21,-0.40,0.83,-1.20,24809.7,,,,,,,,,
2026-02-05,4075.92,13952.71,3260.28,4670.42,1432.52,-0.64,-1.44,-1.55,-0.60,-1.44,21762.2,,,,,,,,,
2026-02-06,4065.58,13906.73,3236.46,4643.60,1422.41,-0.25,-0.33,-0.73,-0.57,-0.71,21457.2,,,,,,,,,
2026-02-09,4123.09,14208.44,3332.77,4719.06,1458.16,1.41,2.17,2.98,1.63,2.51,22494.7,,,,,,,,,
2026-02-10,4128.37,14210.63,3320.54,4724.30,1471.50,0.13,0.02,-0.37,0.11,0.91,21055.4,,,,,,,,,
2026-02-11,4131.99,14160.93,3284.74,4713.82,1455.11,0.09,-0.35,-1.08,-0.22,-1.11,19842.5,,,,,,,,,
2026-02-12,4134.02,14283.00,3328.06,4719.58,1480.99,0.05,0.86,1.32,0.12,1.78,21417.4,,,,,,,,,
2026-02-13,4082.07,14100.19,3275.96,4660.41,1470.33,-1.26,-1.28,-1.57,-1.25,-0.72,19826.8,,,,,,,,,
2026-02-24,4117.41,14291.57,3308.26,4707.54,1465.37,0.87,1.36,0.99,1.01,-0.34,22020.6,,,,,,,,,
2026-02-25,4147.23,14475.87,3354.82,4735.89,1473.28,0.72,1.29,1.41,0.60,0.54,24625.5,,,,,,,,,
2026-02-26,4146.63,14503.79,3344.98,4726.87,1485.86,-0.01,0.19,-0.29,-0.19,0.85,25384.5,,,,,,,,,
2026-02-27,4162.88,14495.09,3310.30,4710.65,1488.02,0.39,-0.06,-1.04,-0.34,0.15,24880.2,,,,,,,,,
2026-03-02,4182.59,14465.79,3294.16,4728.67,1464.77,0.47,-0.20,-0.49,0.38,-1.56,30207.2,,,,,,,,,
2026-03-03,4122.68,14022.39,3209.48,4655.90,1388.41,-1.43,-3.07,-2.57,-1.54,-5.21,31295.1,,,,,,,,,
2026-03-04,4082.47,13917.75,3164.37,4602.62,1381.56,-0.98,-0.75,-1.41,-1.14,-0.49,23657.5,,,,,,,,,
2026-03-05,4108.57,14088.84,3216.94,4647.69,1405.35,0.64,1.23,1.66,0.98,1.72,23900.4,,,,,,,,,
2026-03-06,4124.19,14172.63,3229.30,4660.44,1414.39,0.38,0.59,0.38,0.27,0.64,22001.5,,,,,,,,,
2026-03-09,4096.60,14067.50,3208.58,4615.46,1390.48,-0.67,-0.74,-0.64,-0.97,-1.69,26475.4,,,,,,,,,
2026-03-10,4123.14,14354.07,3306.14,4674.76,1420.54,0.65,2.04,3.04,1.28,2.16,23978.9,,,,,,,,,
2026-03-11,4133.43,14465.41,3349.53,4704.50,1401.08,0.25,0.78,1.31,0.64,-1.37,25083.8,,,,,,,,,
2026-03-12,4129.10,14374.87,3317.52,4687.56,1383.65,-0.10,-0.63,-0.96,-0.36,-1.24,24419.0,,,,,,,,,
2026-03-13,4095.45,14280.78,3310.28,4669.14,1373.64,-0.81,-0.65,-0.22,-0.39,-0.72,24003.2,,,,,,,,,
2026-03-16,4084.79,14307.58,3357.02,4671.56,1384.99,-0.26,0.19,1.41,0.05,0.83,23253.3,,,,,,,,,
2026-03-17,4049.91,14039.73,3280.06,4637.44,1354.15,-0.85,-1.87,-2.29,-0.73,-2.23,22078.6,,,,,,,,,
2026-03-18,4062.98,14187.80,3346.37,4658.33,1372.58,0.32,1.05,2.02,0.45,1.36,20460.6,,,,,,,,,
2026-03-19,4006.55,13901.57,3309.10,4583.25,1339.03,-1.39,-2.02,-1.11,-1.61,-2.44,21109.7,,,,,,,,,
2026-03-20,3957.05,13866.20,3352.10,4567.02,1318.31,-1.24,-0.25,1.30,-0.35,-1.55,22868.6,,,,,,,,,
