captured_at,slot,date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down,broken,broken_rate,max_streak,streak_2plus
2026-09-21 15:52,open,2026-09-21,3949.91,13730.02,3399.59,4539.57,1657.48,0.97,0.65,0.80,0.71,0.29,20315.1,4583,951,96,,,,,,
2026-09-21 17:15,midday,2026-09-21,3949.91,13730.02,3399.59,4539.57,1657.48,0.97,0.65,0.80,0.71,0.29,20315.1,4583,951,96,,,,,,
2026-09-21 22:01,close,2026-09-21,3949.91,13730.02,3399.59,4539.57,1657.48,0.97,0.65,0.80,0.71,0.29,20315.1,4583,951,96,103,2,25,19.5,17,31
2026-09-22 15:37,open,2026-09-22,3952.13,13723.74,3399.93,4544.59,1665.04,0.06,-0.05,0.01,0.11,0.46,21355.5,2391,3077,163,,,,,,
2026-09-22 16:46,midday,2026-09-22,3952.13,13723.74,3399.93,4544.59,1665.04,0.06,-0.05,0.01,0.11,0.46,21355.5,2391,3077,163,,,,,,
2026-09-22 20:33,close,2026-09-22,3952.13,13723.74,3399.93,4544.59,1665.04,0.06,-0.05,0.01,0.11,0.46,21355.5,2391,3077,163,63,3,18,22.2,9,27
2026-09-23 15:39,open,2026-09-23,3936.52,13636.07,3379.61,4517.28,1660.85,-0.39,-0.64,-0.60,-0.60,-0.25,17649.8,1910,3605,118,,,,,,
2026-09-23 16:47,midday,2026-09-23,3936.52,13636.07,3379.61,4517.28,1660.85,-0.39,-0.64,-0.60,-0.60,-0.25,17649.8,1910,3605,118,,,,,,
2026-09-23 20:43,close,2026-09-23,3936.52,13636.07,3379.61,4517.28,1660.85,-0.39,-0.64,-0.60,-0.60,-0.25,17649.8,1910,3605,118,51,13,26,33.8,9,14
2026-09-24 15:31,open,2026-09-24,3888.37,13316.97,3288.95,4439.14,1621.87,-1.22,-2.34,-2.68,-1.73,-2.35,16533.6,1134,4352,148,,,,,,
2026-09-24 16:42,midday,2026-09-24,3888.37,13316.97,3288.95,4439.14,1621.87,-1.22,-2.34,-2.68,-1.73,-2.35,16533.6,1134,4352,148,,,,,,
