date,rank_type,rank,name,pct,net_inflow_yi,leader
2026-09-18,down,1,其他养殖,-3.47,-0.16,*ST福成
2026-09-18,down,2,种子,-1.52,-2.04,敦煌种业
2026-09-18,down,3,涂料,-1.51,-0.10,三棵树
2026-09-18,down,4,汽车经销商,-1.49,-0.01,上海物贸
2026-09-18,down,5,汽车服务,-1.11,-0.07,阿尔特
2026-09-18,up,1,其他医疗服务,6.72,1.97,南华生物
2026-09-18,up,2,房产租赁经纪,4.86,1.00,世联行
2026-09-18,up,3,半导体设备,4.83,18.20,托伦斯
2026-09-18,up,4,数字芯片设计,4.68,75.35,诚邦股份
2026-09-18,up,5,集成电路制造,4.59,12.40,盛合晶微
2026-09-21,down,1,空调,-2.12,-4.63,春兰股份
2026-09-21,down,2,黄金,-1.51,-9.99,招金黄金
2026-09-21,down,3,贵金属,-1.51,-12.58,招金黄金
2026-09-21,down,4,白银,-1.50,-2.59,湖南白银
2026-09-21,down,5,钨,-0.98,-8.56,章源钨业
2026-09-21,up,1,其他医疗服务,7.97,0.48,南华生物
2026-09-21,up,2,房产租赁经纪,7.35,2.66,我爱我家
2026-09-21,up,3,会展服务,7.18,0.48,锋尚文化
2026-09-21,up,4,宠物食品,6.61,0.88,乖宝宠物
2026-09-21,up,5,防水材料,6.14,1.80,科顺股份
2026-09-22,down,1,涂料,-5.79,-0.10,三棵树
2026-09-22,down,2,橡胶助剂,-2.82,-1.30,阳谷华泰
2026-09-22,down,3,旅游综合,-2.62,-0.54,锦旅Ｂ股
2026-09-22,down,4,快递,-2.51,-1.44,顺丰控股
2026-09-22,down,5,航运,-2.38,-6.24,海科B
2026-09-22,up,1,燃料电池,10.78,0.29,亿华通-U
2026-09-22,up,2,其他家电Ⅲ,5.00,0.18,奥佳华
2026-09-22,up,3,其他家电Ⅱ,5.00,0.18,奥佳华
2026-09-22,up,4,广告媒体,4.20,-0.29,华媒控股
2026-09-22,up,5,教育出版,3.77,1.19,新华文轩
